번호,일간,월령,한글명,월령본기십신,압축유형,핵심성정,겉성격,속기질,강점기질,그림자기질
60,戊,丑,무토 축월,겁재,축적 인내형 중심축,현실성 · 중후함 · 생활 고집 · 인내 · 경쟁 · 대중성,묵직함 · 신뢰감 · 느림 · 묵묵함 · 활동적,소유욕 · 불안한 책임감 · 걱정 · 원망 축적 · 빼앗김 불안,관리력 · 조직력 · 축적 · 버팀 · 네트워크,독단 · 변화 저항 · 속앓이 · 충동
61,己,寅,기토 인월,정관,초기 돌파형 관리자,실무성 · 돌봄성 · 시작성 · 돌파성 · 평판 의식 · 질서,친절함 · 겸손함 · 적극성 · 선점 욕구 · 단정함,계산성 · 걱정 · 미숙한 자신감 · 앞서가려는 마음 · 체면,관리력 · 정리력 · 개척 · 용기 · 규율,잔걱정 · 속으로 쌓음 · 과신 · 마무리 약화 · 경직
62,己,卯,기토 묘월,편관,관계 확장형 관리자,돌봄성 · 조율력 · 확장성 · 관계성 · 긴장감 · 승부욕,겸손함 · 세심함 · 세련됨 · 활발한 교류 · 강단,걱정 · 미안함 · 비교 · 소유욕 · 압박감,정리력 · 돌봄 · 네트워크 · 심미성 · 위기 대응,속으로 쌓음 · 거절 지연 · 질투 · 분산 · 공격성
63,己,辰,기토 진월,겁재,현실 설계형 관리자,조율력 · 축적성 · 복합성 · 현실화 · 대중성 · 사람 욕구,세심함 · 무난함 · 계획성 · 중후함 · 활동적,미안함 · 인정 욕구 · 미련 · 욕심 · 빼앗김 불안,돌봄 · 적응력 · 자원 결합 · 현실 감각 · 네트워크,거절 지연 · 간섭 · 우유부단 · 집착 · 충동
64,己,巳,기토 사월,정인,기민한 야심형 관리자,축적성 · 생활 감각 · 기민함 · 야심 · 사려 깊음 · 학습성,무난함 · 현실적 태도 · 빠른 말 · 사회적 감각 · 온화함,인정 욕구 · 은근한 통제 · 초조함 · 숨은 경쟁 · 걱정,적응력 · 지속력 · 설득 · 집중 · 학습,간섭 · 수동적 불만 · 이중성 · 조급함 · 생각 과다
65,己,午,기토 오월,편인,강한 존재감형 관리자,생활 감각 · 신중함 · 열정 · 존재감 · 직관 · 독특성,현실적 태도 · 친절함 · 직설적 · 활발함 · 신비감,은근한 통제 · 계산성 · 질투 · 외로움 · 고독,지속력 · 관리력 · 표현력 · 추진 · 통찰,수동적 불만 · 잔걱정 · 독단 · 감정 폭발 · 현실 회피
66,己,未,기토 미월,비견,생활 책임형 관리자,신중함 · 실무성 · 돌봄성 · 생활성 · 독립 · 동등 의식,친절함 · 겸손함 · 배려 · 차분함 · 당당함,계산성 · 걱정 · 소유욕 · 미안함 · 양보 거부,관리력 · 정리력 · 지속 · 생활 감각 · 자립,잔걱정 · 속으로 쌓음 · 잔소리 · 미련 · 고집
67,己,申,기토 신월,상관,실전 적응형 관리자,실무성 · 돌봄성 · 실전성 · 기민함 · 비판성 · 표현성,겸손함 · 세심함 · 현실적 · 재치,걱정 · 미안함 · 생존 본능 · 승부욕 · 권위 반감,정리력 · 돌봄 · 적응 · 전략 · 언변,속으로 쌓음 · 거절 지연 · 냉정함 · 산만함 · 말실수
68,己,酉,기토 유월,식신,완성도 집착형 관리자,돌봄성 · 조율력 · 정교함 · 완성도 · 여유 · 생산성,세심함 · 무난함 · 세련됨 · 예의 · 편안함,미안함 · 인정 욕구 · 상처 민감 · 우월감 · 안정 욕구,돌봄 · 적응력 · 분별 · 품질 감각 · 창작,거절 지연 · 간섭 · 비판 · 자존심 · 안일함
69,己,戌,기토 술월,겁재,원칙 고수형 관리자,조율력 · 축적성 · 원칙성 · 충성심 · 대중성 · 사람 욕구,무난함 · 현실적 태도 · 무게감 · 보수적 · 활동적,인정 욕구 · 은근한 통제 · 고독 · 의심 · 빼앗김 불안,적응력 · 지속력 · 의리 · 지속 · 네트워크,간섭 · 수동적 불만 · 완고함 · 복수심 · 충동
70,己,亥,기토 해월,정재,감성 유랑형 관리자,축적성 · 생활 감각 · 감수성 · 자유성 · 소유 의식 · 실속,현실적 태도 · 친절함 · 유연함 · 낭만적 · 성실함,은근한 통제 · 계산성 · 현실 회피 · 이상화 · 생활 집착,지속력 · 관리력 · 창의성 · 공감 · 관리,수동적 불만 · 잔걱정 · 방황 · 회피 · 보수성
71,己,子,기토 자월,편재,내면 계산형 관리자,생활 감각 · 신중함 · 지성 · 은밀함 · 외향성 · 기회 감각,친절함 · 겸손함 · 빠른 두뇌 · 신중함 · 사교적,계산성 · 걱정 · 질투 · 비밀 · 권태,관리력 · 정리력 · 기억력 · 전략 · 사업 감각,잔걱정 · 속으로 쌓음 · 이중성 · 감정 기복 · 과소비
72,己,丑,기토 축월,비견,축적 인내형 관리자,신중함 · 실무성 · 인내 · 저장성 · 독립 · 동등 의식,겸손함 · 세심함 · 묵묵함 · 차분함 · 당당함,걱정 · 미안함 · 원망 축적 · 미련 · 양보 거부,정리력 · 돌봄 · 버팀 · 절약 · 자립,속으로 쌓음 · 거절 지연 · 속앓이 · 완고함 · 고집
73,庚,寅,경금 인월,편재,초기 돌파형 승부사,결단력 · 경쟁성 · 돌파성 · 개척성 · 외향성 · 기회 감각,강직함 · 거침없음 · 선점 욕구 · 도전적 · 사교적,명예욕 · 분노 · 앞서가려는 마음 · 경쟁 의식 · 권태,결단 · 위기 대응 · 용기 · 선도 · 사업 감각,공격성 · 독선 · 마무리 약화 · 충돌 · 과소비
74,庚,卯,경금 묘월,정재,관계 확장형 승부사,경쟁성 · 직선성 · 관계성 · 미감 · 안정 · 소유 의식,거침없음 · 냉정함 · 활발한 교류 · 부드러운 경쟁 · 성실함,분노 · 패배 불안 · 소유욕 · 관계 예민 · 생활 집착,위기 대응 · 실행력 · 심미성 · 확산력 · 관리,독선 · 관계 절단 · 분산 · 주도권 다툼 · 보수성
75,庚,辰,경금 진월,편인,현실 설계형 승부사,직선성 · 정의감 · 현실화 · 축적성 · 몰입 · 직관,냉정함 · 단호함 · 중후함 · 상황 관찰 · 신비감,패배 불안 · 자존심 · 욕심 · 결정 지연 · 고독,실행력 · 절단력 · 현실 감각 · 잠재력 · 통찰,관계 절단 · 복수심 · 집착 · 정리 지연 · 현실 회피
76,庚,巳,경금 사월,편관,기민한 야심형 승부사,정의감 · 승부욕 · 야심 · 표현성 · 긴장감,단호함 · 행동성 · 사회적 감각 · 세련된 대응 · 강단,자존심 · 경계심 · 숨은 경쟁 · 성과 압박 · 압박감,절단력 · 책임감 · 집중 · 전략 · 위기 대응,복수심 · 무리한 승부 · 조급함 · 집착 · 공격성
77,庚,午,경금 오월,정관,강한 존재감형 승부사,승부욕 · 자기 단련 · 존재감 · 자존심 · 책임 · 평판 의식,행동성 · 강직함 · 활발함 · 강한 표현 · 단정함,경계심 · 명예욕 · 외로움 · 체면 의식 · 체면,책임감 · 결단 · 추진 · 매력 · 규율,무리한 승부 · 공격성 · 감정 폭발 · 허영 · 경직
78,庚,未,경금 미월,정인,생활 책임형 승부사,자기 단련 · 결단력 · 생활성 · 책임감 · 사려 깊음 · 학습성,강직함 · 거침없음 · 차분함 · 신뢰감 · 온화함,명예욕 · 분노 · 미안함 · 관계 집착 · 걱정,결단 · 위기 대응 · 생활 감각 · 조율 · 학습,공격성 · 독선 · 미련 · 간섭 · 생각 과다
79,庚,申,경금 신월,비견,실전 적응형 승부사,결단력 · 경쟁성 · 기민함 · 자기중심 · 독립,거침없음 · 냉정함 · 재치 · 냉정한 대응 · 당당함,분노 · 패배 불안 · 승부욕 · 권태 · 양보 거부,위기 대응 · 실행력 · 전략 · 효율 · 자립,독선 · 관계 절단 · 산만함 · 관계 단절 · 고집
80,庚,酉,경금 유월,겁재,완성도 집착형 승부사,경쟁성 · 직선성 · 완성도 · 심미성 · 대중성 · 사람 욕구,냉정함 · 단호함 · 예의 · 냉정한 인상 · 활동적,패배 불안 · 자존심 · 우월감 · 고독 · 빼앗김 불안,실행력 · 절단력 · 품질 감각 · 표현 정제 · 네트워크,관계 절단 · 복수심 · 자존심 · 관계 냉각 · 충동
81,庚,戌,경금 술월,편인,원칙 고수형 승부사,직선성 · 정의감 · 충성심 · 고집 · 몰입 · 직관,단호함 · 행동성 · 보수적 · 신뢰감 · 신비감,자존심 · 경계심 · 의심 · 자기 방어 · 고독,절단력 · 책임감 · 지속 · 원칙 · 통찰,복수심 · 무리한 승부 · 고립 · 현실 회피
82,庚,亥,경금 해월,식신,감성 유랑형 승부사,정의감 · 승부욕 · 자유성 · 상상력 · 여유 · 생산성,행동성 · 강직함 · 낭만적 · 편안한 인상 · 편안함,경계심 · 명예욕 · 이상화 · 경계 약화 · 안정 욕구,책임감 · 결단 · 공감 · 확장된 시야 · 창작,무리한 승부 · 공격성 · 회피 · 정착 부족 · 안일함
83,庚,子,경금 자월,상관,내면 계산형 승부사,승부욕 · 자기 단련 · 은밀함 · 적응성 · 반항성 · 비판성,강직함 · 거침없음 · 신중함 · 유연한 대응 · 재치,명예욕 · 분노 · 비밀 · 생존 본능 · 권위 반감,결단 · 위기 대응 · 전략 · 상황 판단 · 언변,공격성 · 독선 · 감정 기복 · 욕망 과다 · 말실수
84,庚,丑,경금 축월,정인,축적 인내형 승부사,자기 단련 · 결단력 · 저장성 · 보수성 · 사려 깊음 · 학습성,거침없음 · 냉정함 · 차분함 · 안정적 · 온화함,분노 · 패배 불안 · 미련 · 손실 공포 · 걱정,위기 대응 · 실행력 · 절약 · 지속 · 학습,독선 · 관계 절단 · 완고함 · 기회 지연 · 생각 과다
85,辛,寅,신금 인월,정재,초기 돌파형 심미가,정밀함 · 분별력 · 개척성 · 성장 충동 · 안정 · 소유 의식,세련됨 · 단정함 · 도전적 · 빠른 출발 · 성실함,비교 의식 · 상처 민감 · 경쟁 의식 · 조급함 · 생활 집착,안목 · 분석력 · 선도 · 초기 추진 · 관리,까다로움 · 비판성 · 충돌 · 성급함 · 보수성
86,辛,卯,신금 묘월,편재,관계 확장형 심미가,분별력 · 품위 · 미감 · 경쟁성 · 활동 범위 · 외향성,단정함 · 차분함 · 부드러운 경쟁 · 친화적 · 사교적,상처 민감 · 자기 가치 집착 · 관계 예민 · 질투 · 권태,분석력 · 완성도 · 확산력 · 대인 감각 · 사업 감각,비판성 · 완벽 강박 · 주도권 다툼 · 관계 소모 · 과소비
87,辛,辰,신금 진월,정인,현실 설계형 심미가,품위 · 심미성 · 축적성 · 전환성 · 학습성 · 보호성,차분함 · 예의 바름 · 상황 관찰 · 신중함 · 온화함,자기 가치 집착 · 의심 · 결정 지연 · 모순 · 걱정,완성도 · 품질 감각 · 잠재력 · 기획 정리 · 학습,완벽 강박 · 냉소 · 정리 지연 · 복잡함 · 생각 과다
88,辛,巳,신금 사월,정관,기민한 야심형 심미가,심미성 · 완벽주의 · 표현성 · 계산성 · 책임 · 평판 의식,예의 바름 · 냉정함 · 세련된 대응 · 재치 · 단정함,의심 · 고독감 · 성과 압박 · 질투 · 체면,품질 감각 · 세공 능력 · 전략 · 순발력 · 규율,냉소 · 자존심 과민 · 집착 · 과열 · 경직
89,辛,午,신금 오월,편관,강한 존재감형 심미가,완벽주의 · 선택성 · 자존심 · 감정성 · 통제성 · 긴장감,냉정함 · 세련됨 · 강한 표현 · 화려함 · 강단,고독감 · 비교 의식 · 체면 의식 · 인정 갈망 · 압박감,세공 능력 · 안목 · 매력 · 리더십 · 위기 대응,자존심 과민 · 까다로움 · 허영 · 과열 · 공격성
90,辛,未,신금 미월,편인,생활 책임형 심미가,선택성 · 정밀함 · 책임감 · 축적성 · 직관 · 독특성,세련됨 · 단정함 · 신뢰감 · 온화함 · 신비감,비교 의식 · 상처 민감 · 관계 집착 · 서운함 · 고독,안목 · 분석력 · 조율 · 돌봄 · 통찰,까다로움 · 비판성 · 간섭 · 희생 집착 · 현실 회피
91,辛,申,신금 신월,겁재,실전 적응형 심미가,정밀함 · 분별력 · 경쟁성 · 변응성 · 대중성 · 사람 욕구,단정함 · 차분함 · 냉정한 대응 · 빠른 판단 · 활동적,상처 민감 · 자기 가치 집착 · 권태 · 불신 · 빼앗김 불안,분석력 · 완성도 · 효율 · 문제 해결 · 네트워크,비판성 · 완벽 강박 · 관계 단절 · 기회주의 · 충동
92,辛,酉,신금 유월,비견,완성도 집착형 심미가,분별력 · 품위 · 심미성 · 비판성 · 동등 의식 · 자기중심,차분함 · 예의 바름 · 냉정한 인상 · 단정함 · 당당함,자기 가치 집착 · 의심 · 고독 · 비교 · 양보 거부,완성도 · 품질 감각 · 표현 정제 · 안목 · 자립,완벽 강박 · 냉소 · 관계 냉각 · 까다로움 · 고집
93,辛,戌,신금 술월,정인,원칙 고수형 심미가,품위 · 심미성 · 고집 · 통제성 · 학습성 · 보호성,예의 바름 · 냉정함 · 신뢰감 · 강직함 · 온화함,의심 · 고독감 · 자기 방어 · 분노 축적 · 걱정,품질 감각 · 세공 능력 · 원칙 · 책임 · 학습,냉소 · 자존심 과민 · 고립 · 독선 · 생각 과다
94,辛,亥,신금 해월,상관,감성 유랑형 심미가,심미성 · 완벽주의 · 상상력 · 방랑성 · 반항성 · 비판성,냉정함 · 세련됨 · 편안한 인상 · 부드러움 · 재치,고독감 · 비교 의식 · 경계 약화 · 외로움 · 권위 반감,세공 능력 · 안목 · 확장된 시야 · 직관 · 언변,자존심 과민 · 까다로움 · 정착 부족 · 감정 의존 · 말실수
95,辛,子,신금 자월,식신,내면 계산형 심미가,완벽주의 · 선택성 · 적응성 · 욕망 · 낙천성 · 여유,세련됨 · 단정함 · 유연한 대응 · 차분함 · 편안함,비교 의식 · 상처 민감 · 생존 본능 · 불안 · 안정 욕구,안목 · 분석력 · 상황 판단 · 정보 감각 · 창작,까다로움 · 비판성 · 욕망 과다 · 의심 · 안일함
96,辛,丑,신금 축월,편인,축적 인내형 심미가,선택성 · 정밀함 · 보수성 · 신중함 · 직관 · 독특성,단정함 · 차분함 · 안정적 · 느림 · 신비감,상처 민감 · 자기 가치 집착 · 손실 공포 · 걱정 · 고독,분석력 · 완성도 · 지속 · 축적 · 통찰,비판성 · 완벽 강박 · 기회 지연 · 변화 저항 · 현실 회피
97,壬,寅,임수 인월,식신,초기 돌파형 전략가,자유성 · 확장성 · 성장 충동 · 직진성 · 낙천성 · 여유,유연함 · 사교성 · 빠른 출발 · 적극성 · 편안함,방랑성 · 권태 · 조급함 · 미숙한 자신감 · 안정 욕구,전략성 · 네트워크 · 초기 추진 · 개척 · 창작,산만함 · 책임 회피 · 성급함 · 과신 · 안일함
98,壬,卯,임수 묘월,상관,관계 확장형 전략가,확장성 · 정보 감각 · 경쟁성 · 선택받고 싶은 마음 · 표현성 · 반항성,사교성 · 재치 · 친화적 · 세련됨,권태 · 큰 욕망 · 질투 · 비교 · 권위 반감,네트워크 · 기회 포착 · 대인 감각 · 언변,책임 회피 · 욕망 분산 · 관계 소모 · 질투 · 말실수
99,壬,辰,임수 진월,편관,현실 설계형 전략가,정보 감각 · 적응력 · 전환성 · 잠재 욕망 · 승부욕 · 통제성,재치 · 빠른 대응 · 신중함 · 계획성 · 강단,큰 욕망 · 관계 불안 · 모순 · 미련 · 압박감,기회 포착 · 전환력 · 기획 정리 · 자원 결합 · 위기 대응,욕망 분산 · 과신 · 복잡함 · 우유부단 · 공격성
100,壬,巳,임수 사월,편재,기민한 야심형 전략가,적응력 · 대범함 · 계산성 · 집중력 · 활동 범위 · 외향성,빠른 대응 · 통 큰 태도 · 재치 · 빠른 말 · 사교적,관계 불안 · 통제 거부 · 질투 · 초조함 · 권태,전환력 · 넓은 시야 · 순발력 · 설득 · 사업 감각,과신 · 정착 부족 · 과열 · 이중성 · 과소비
101,壬,午,임수 오월,정재,강한 존재감형 전략가,대범함 · 이동성 · 감정성 · 주도성 · 실속 · 안정,통 큰 태도 · 유연함 · 화려함 · 직설적 · 성실함,통제 거부 · 방랑성 · 인정 갈망 · 질투 · 생활 집착,넓은 시야 · 전략성 · 리더십 · 표현력 · 관리,정착 부족 · 산만함 · 과열 · 독단 · 보수성
102,壬,未,임수 미월,정관,생활 책임형 전략가,이동성 · 자유성 · 축적성 · 정서적 끈기 · 책임 · 평판 의식,유연함 · 사교성 · 온화함 · 배려 · 단정함,방랑성 · 권태 · 서운함 · 소유욕 · 체면,전략성 · 네트워크 · 돌봄 · 지속 · 규율,산만함 · 책임 회피 · 희생 집착 · 잔소리 · 경직
103,壬,申,임수 신월,편인,실전 적응형 전략가,자유성 · 확장성 · 변응성 · 계산성 · 몰입 · 직관,사교성 · 재치 · 빠른 판단 · 현실적 · 신비감,권태 · 큰 욕망 · 불신 · 생존 본능 · 고독,네트워크 · 기회 포착 · 문제 해결 · 적응 · 통찰,책임 회피 · 욕망 분산 · 기회주의 · 냉정함 · 현실 회피
104,壬,酉,임수 유월,정인,완성도 집착형 전략가,확장성 · 정보 감각 · 비판성 · 자기 가치 · 학습성 · 보호성,재치 · 빠른 대응 · 단정함 · 세련됨 · 온화함,큰 욕망 · 관계 불안 · 비교 · 상처 민감 · 걱정,기회 포착 · 전환력 · 안목 · 분별 · 학습,욕망 분산 · 과신 · 까다로움 · 비판 · 생각 과다
105,壬,戌,임수 술월,편관,원칙 고수형 전략가,정보 감각 · 적응력 · 통제성 · 책임 의식 · 승부욕,빠른 대응 · 통 큰 태도 · 강직함 · 무게감 · 강단,관계 불안 · 통제 거부 · 분노 축적 · 고독 · 압박감,전환력 · 넓은 시야 · 책임 · 의리 · 위기 대응,과신 · 정착 부족 · 독선 · 완고함 · 공격성
106,壬,亥,임수 해월,비견,감성 유랑형 전략가,적응력 · 대범함 · 방랑성 · 정서적 깊이 · 동등 의식 · 자기중심,통 큰 태도 · 유연함 · 부드러움 · 당당함,통제 거부 · 방랑성 · 외로움 · 현실 회피 · 양보 거부,넓은 시야 · 전략성 · 직관 · 창의성 · 자립,정착 부족 · 산만함 · 감정 의존 · 방황 · 고집
107,壬,子,임수 자월,겁재,내면 계산형 전략가,대범함 · 이동성 · 욕망 · 감정 축적 · 경쟁 · 대중성,유연함 · 사교성 · 차분함 · 빠른 두뇌 · 활동적,방랑성 · 권태 · 불안 · 질투 · 빼앗김 불안,전략성 · 네트워크 · 정보 감각 · 기억력,산만함 · 책임 회피 · 의심 · 이중성 · 충동
108,壬,丑,임수 축월,정관,축적 인내형 전략가,이동성 · 자유성 · 신중함 · 생활 고집 · 책임 · 평판 의식,사교성 · 재치 · 느림 · 묵묵함 · 단정함,권태 · 큰 욕망 · 걱정 · 원망 축적 · 체면,네트워크 · 기회 포착 · 축적 · 버팀 · 규율,책임 회피 · 욕망 분산 · 변화 저항 · 속앓이 · 경직
109,癸,寅,계수 인월,상관,초기 돌파형 관찰자,감수성 · 관찰력 · 직진성 · 시작성 · 표현성 · 반항성,조용함 · 신중함 · 적극성 · 선점 욕구 · 재치,불안 · 의심 · 미숙한 자신감 · 앞서가려는 마음 · 권위 반감,통찰 · 세밀한 감지 · 개척 · 용기 · 언변,과도한 추측 · 회피 · 과신 · 마무리 약화 · 말실수
110,癸,卯,계수 묘월,식신,관계 확장형 관찰자,관찰력 · 직관성 · 선택받고 싶은 마음 · 확장성 · 생산성 · 낙천성,신중함 · 부드러움 · 세련됨 · 활발한 교류 · 편안함,의심 · 외로움 · 비교 · 소유욕 · 안정 욕구,세밀한 감지 · 언어 감각 · 네트워크 · 심미성 · 창작,회피 · 비밀주의 · 질투 · 분산 · 안일함
111,癸,辰,계수 진월,정관,현실 설계형 관찰자,직관성 · 은밀함 · 잠재 욕망 · 복합성 · 평판 의식 · 질서,부드러움 · 눈치 빠름 · 계획성 · 중후함 · 단정함,외로움 · 감정 축적 · 미련 · 욕심 · 체면,언어 감각 · 상황 적응 · 자원 결합 · 현실 감각 · 규율,비밀주의 · 감정 의존 · 우유부단 · 집착 · 경직
112,癸,巳,계수 사월,정재,기민한 야심형 관찰자,은밀함 · 변응력 · 집중력 · 기민함 · 실속 · 안정,눈치 빠름 · 차분함 · 빠른 말 · 사회적 감각 · 성실함,감정 축적 · 숨은 욕망 · 초조함 · 숨은 경쟁 · 생활 집착,상황 적응 · 깊은 집중 · 설득 · 집중 · 관리,감정 의존 · 결정 지연 · 이중성 · 조급함 · 보수성
113,癸,午,계수 오월,편재,강한 존재감형 관찰자,변응력 · 기억성 · 주도성 · 열정 · 기회 감각 · 활동 범위,차분함 · 조용함 · 직설적 · 활발함 · 사교적,숨은 욕망 · 불안 · 질투 · 외로움 · 권태,깊은 집중 · 통찰 · 표현력 · 추진 · 사업 감각,결정 지연 · 과도한 추측 · 독단 · 감정 폭발 · 과소비
114,癸,未,계수 미월,편관,생활 책임형 관찰자,기억성 · 감수성 · 정서적 끈기 · 돌봄성 · 통제성 · 긴장감,조용함 · 신중함 · 배려 · 차분함 · 강단,불안 · 의심 · 소유욕 · 미안함 · 압박감,통찰 · 세밀한 감지 · 지속 · 생활 감각 · 위기 대응,과도한 추측 · 회피 · 잔소리 · 미련 · 공격성
115,癸,申,계수 신월,정인,실전 적응형 관찰자,감수성 · 관찰력 · 계산성 · 실전성 · 학습성 · 보호성,신중함 · 부드러움 · 현실적 · 재치 · 온화함,의심 · 외로움 · 생존 본능 · 승부욕 · 걱정,세밀한 감지 · 언어 감각 · 적응 · 전략 · 학습,회피 · 비밀주의 · 냉정함 · 산만함 · 생각 과다
116,癸,酉,계수 유월,편인,완성도 집착형 관찰자,관찰력 · 직관성 · 자기 가치 · 정교함 · 독특성 · 몰입,부드러움 · 눈치 빠름 · 세련됨 · 예의 · 신비감,외로움 · 감정 축적 · 상처 민감 · 우월감 · 고독,언어 감각 · 상황 적응 · 분별 · 품질 감각 · 통찰,비밀주의 · 감정 의존 · 비판 · 자존심 · 현실 회피
117,癸,戌,계수 술월,정관,원칙 고수형 관찰자,직관성 · 은밀함 · 책임 의식 · 원칙성 · 평판 의식 · 질서,눈치 빠름 · 차분함 · 무게감 · 보수적 · 단정함,감정 축적 · 숨은 욕망 · 고독 · 의심 · 체면,상황 적응 · 깊은 집중 · 의리 · 지속 · 규율,감정 의존 · 결정 지연 · 완고함 · 복수심 · 경직
118,癸,亥,계수 해월,겁재,감성 유랑형 관찰자,은밀함 · 변응력 · 정서적 깊이 · 감수성 · 경쟁 · 대중성,차분함 · 조용함 · 유연함 · 낭만적 · 활동적,숨은 욕망 · 불안 · 현실 회피 · 이상화 · 빼앗김 불안,깊은 집중 · 통찰 · 창의성 · 공감 · 네트워크,결정 지연 · 과도한 추측 · 방황 · 회피 · 충동
119,癸,子,계수 자월,비견,내면 계산형 관찰자,변응력 · 기억성 · 감정 축적 · 지성 · 독립 · 동등 의식,조용함 · 신중함 · 빠른 두뇌 · 당당함,불안 · 의심 · 질투 · 비밀 · 양보 거부,통찰 · 세밀한 감지 · 기억력 · 전략 · 자립,과도한 추측 · 회피 · 이중성 · 감정 기복 · 고집
120,癸,丑,계수 축월,편관,축적 인내형 관찰자,기억성 · 감수성 · 생활 고집 · 인내 · 통제성 · 긴장감,신중함 · 부드러움 · 묵묵함 · 차분함 · 강단,의심 · 외로움 · 원망 축적 · 미련 · 압박감,세밀한 감지 · 언어 감각 · 버팀 · 절약 · 위기 대응,회피 · 비밀주의 · 속앓이 · 완고함 · 공격성
